,Bad_ID
1575,332560
1576,392688
1577,112768
1578,25A404
1579,232587
1580,373302
1581,333500
1582,152598
1583,462528
1584,192658
1585,192518
1586,292540
1587,552578
1588,392825
1589,672709
1590,322546
1591,232716
1592,05130F
1593,142801
1594,A01685
1595,672775
1596,362865
1597,362860
1598,A01753
1599,A11509
1600,A11611
1601,44E132
1602,332528
1603,452664
1604,502500
1605,102574
1606,23E104
1607,682617
1608,242510
1609,312509
1610,652503
1611,102861
1612,342621
1613,682521
1614,362780
1615,522587
1616,A01625
1617,212702
1618,262667
1619,212740
1620,031689
1621,282319
1622,852552
1623,442751
1624,672834
1625,32E027
1626,A11557
1627,A11552
1628,A11608
1629,432504
1630,102623
1631,06A088
1632,052877
1633,142675
1634,43A073
1635,142600
1636,192586
1637,422606
1638,252547
1639,102745
1640,242545
1641,242698
1642,242700
1643,352502
1644,282527
1645,282528
1646,012632
1647,422517
1648,452802
1649,333560
1650,333564
1651,142756
1652,292553
1653,012680
1654,672883
1655,032644
1656,182629
1657,112669
1658,012677
1659,10065F
1660,042578
1661,042513
1662,392546
1663,142769
1664,232694
1665,552856
1666,031715
1667,422673
1668,522582
1669,262685
1670,522530
1671,A11699
1672,A11640
1673,A01746
1674,052709
1675,492594
1676,102510
1677,012598
1678,552565
1679,282504
1680,26A378
1681,362696
1682,012662
1683,08A015
1684,492579
1685,042533
1686,442615
1687,452738
1688,242542
1689,44018F
1690,362700
1691,672638
1692,142694
1693,232644
1694,192628
1695,172503
1696,032575
1697,522506
1698,142708
1699,852513
1700,362844
1701,312666
1702,A01638
1703,072549
1704,112585
1705,142641
1706,332711
1707,11032F
1708,241608
1709,A01689
1710,A01718
1711,A01699
1712,A11753
1713,362878
1714,682630
1715,312677
1716,672867
1717,312670
1718,A01783
1719,031696
1720,241607
1721,062593
1722,372557
1723,A01695
1724,342735
1725,152692
1726,552868
1727,A01779
1728,A11504
1729,142865
1730,462504
1731,052502
1732,14E095
1733,142670
1734,102512
1735,422520
1736,492525
1737,382518
1738,042537
1739,522550
1740,232555
1741,45E341
1742,14A539
1743,142690
1744,392743
1745,031736
1746,142709
1747,112822
1748,382556
1749,042535
1750,552695
1751,682541
1752,523500
1753,182621
1754,392826
1755,A01704
1756,A01555
1757,682605
1758,322549
1759,142814
1760,15002F
1761,182630
1762,232707
1763,112885
1764,262659
1765,332800
1766,362883
1767,A01673
1768,A01690
1769,502587
1770,502588
1771,502589
1772,502590
1773,502591
1774,502598
1775,501545
1776,031731
1777,A11636
1778,442765
1779,332532
1780,492521
1781,452801
1782,05A331
1783,682548
1784,052869
1785,452891
1786,192614
